Name,Party,ElectionYear,Spending,Votes,ElectoralVotes
REAGAN RONALD,REP,1980,59916222,43642639,489
CARTER JIMMY,DEM,1980,36227719,35480948,49
ANDERSON JOHN B,IND,1980,22189510,5719437,0
MONDALE WALTER F,DEM,1984,79040445,37577185,13
REAGAN RONALD,REP,1984,77202274,54455075,525
BERGLAND DAVID,LIB,1984,635918,227204,0
BUSH GEORGE,REP,1988,88752522,48886097,426
DUKAKIS MICHAEL S,DEM,1988,87924737,41809074,111
FULANI LENORA B,IND,1988,2628503,217219,0
PAUL RONALD E,LIB,1988,1588061,432179,0
CLINTON WILLIAM JEFFERSON,DEM,1992,107876226,44909889,370
BUSH GEORGE,REP,1992,100537291,39104545,168
PEROT ROSS,IND,1992,72910798,19742267,0
CLINTON WILLIAM JEFFERSON,DEM,1996,123646881,47402357,379
DOLE ROBERT J,REP,1996,140638827,39198755,159
PEROT ROSS,REF,1996,41651339,8085402,0
BUSH GEORGE W,REP,2000,186455991.55,50456002,271
GORE AL,DEM,2000,120335203,50999897,266
NADER RALPH,UNK,2000,9196716.74,2882955,0
BUSH GEORGE W,REP,2004,365729978.73,62040610,286
KERRY JOHN F,DEM,2004,332804117.79,59028444,251
NADER RALPH,IND,2004,5570277.33,465650,0
OBAMA BARACK,DEM,2008,760370195.37,69498516,365
MCCAIN JOHN S,REP,2008,375159299.94,59948323,173
OBAMA BARACK,DEM,2012,757574968.34,65915795,332
ROMNEY MITT,REP,2012,483292209.77,60933504,206
CLINTON HILLARY RODHAM,DEM,2016,585580576.76,65853514,227
TRUMP DONALD J,REP,2016,343056732.78,62984828,304
JOHNSON GARY,LIB,2016,12463110.51,4489341,0
BIDEN JOSEPH R JR,DEM,2020,1073919500.66,81283501,306
TRUMP DONALD J,REP,2020,808756415.44,74223975,232
