Name,Party,ElectionYear,Spending,AdjustedSpending,Votes,ElectoralVotes
REAGAN RONALD,REP,1980,59916222,216079395.63,43642639,489
CARTER JIMMY,DEM,1980,36227719,130650153.92,35480948,49
MONDALE WALTER F,DEM,1984,79040445,207207968.07,37577185,13
REAGAN RONALD,REP,1984,77202274,202389122.76,54455075,525
BUSH GEORGE,REP,1988,88752522,197855411.71,48886097,426
DUKAKIS MICHAEL S,DEM,1988,87924737,196010036.07,41809074,111
CLINTON WILLIAM JEFFERSON,DEM,1992,107876226,203937436.77,44909889,370
BUSH GEORGE,REP,1992,100537291,190063354.89,39104545,168
CLINTON WILLIAM JEFFERSON,DEM,1996,123646881,220805450.69,47402357,379
DOLE ROBERT J,REP,1996,140638827,251149235.06,39198755,159
BUSH GEORGE W,REP,2000,186455991.55,310450447.79,50456002,271
GORE AL,DEM,2000,120335203,200358901.56,50999897,266
BUSH GEORGE W,REP,2004,365729978.73,554928774.34,62040610,286
KERRY JOHN F,DEM,2004,332804117.79,504969764.36,59028444,251
OBAMA BARACK,DEM,2008,760370195.37,1058331344.59,69498516,365
MCCAIN JOHN S,REP,2008,375159299.94,522170449.02,59948323,173
OBAMA BARACK,DEM,2012,757574968.34,988723279.00,65915795,332
ROMNEY MITT,REP,2012,483292209.77,630752438.15,60933504,206
CLINTON HILLARY RODHAM,DEM,2016,585580576.76,724363743.64,65853514,227
TRUMP DONALD J,REP,2016,343056732.78,424361512.49,62984828,304
BIDEN JOSEPH R JR,DEM,2020,1073919500.66,1245184667.15,81283501,306
TRUMP DONALD J,REP,2020,808756415.44,937734241.11,74223975,232
